,date,temperature,pressure,humidity,sunshine
86,2022-01-02 19:30:00,-7.5,763.8,83.0,7.09
87,2022-01-02 20:00:00,-7.4,763.8,83.0,7.09
88,2022-01-02 20:30:00,-7.7,763.8,83.0,7.09
89,2022-01-02 21:00:00,-7.7,763.8,83.0,7.09
90,2022-01-02 21:30:00,-7.9,763.9,83.0,7.09
91,2022-01-02 22:00:00,-8.0,763.9,83.0,7.09
92,2022-01-02 22:30:00,-8.2,764.0,83.0,7.09
93,2022-01-02 23:00:00,-8.3,764.0,83.0,7.09
94,2022-01-02 23:30:00,-8.4,764.0,83.0,7.09
95,2022-01-03 00:00:00,-8.5,764.1,84.0,7.09
96,2022-01-03 00:30:00,-8.6,764.1,84.0,7.1
97,2022-01-03 01:00:00,-8.7,764.1,84.0,7.1
98,2022-01-03 01:30:00,-8.8,764.1,84.0,7.1
99,2022-01-03 02:00:00,-9.1,764.2,84.0,7.1
100,2022-01-03 02:30:00,-9.2,764.3,84.0,7.1
101,2022-01-03 03:00:00,-9.2,764.3,84.0,7.1
102,2022-01-03 03:30:00,-9.2,764.3,84.0,7.1
103,2022-01-03 04:00:00,-9.2,764.3,84.0,7.1
104,2022-01-03 04:30:00,-9.2,764.3,84.0,7.1
105,2022-01-03 05:00:00,-9.2,764.3,84.0,7.1
106,2022-01-03 05:30:00,-9.1,764.2,84.0,7.1
107,2022-01-03 06:00:00,-9.0,764.2,84.0,7.1
108,2022-01-03 06:30:00,-9.0,764.2,84.0,7.1
109,2022-01-03 07:00:00,-8.9,764.2,84.0,7.1
110,2022-01-03 07:30:00,-8.8,764.1,84.0,7.1
111,2022-01-03 08:00:00,-8.7,764.1,84.0,7.1
112,2022-01-03 08:30:00,-8.5,764.1,84.0,7.1
113,2022-01-03 09:00:00,-8.5,764.1,84.0,7.1
114,2022-01-03 09:30:00,-8.4,764.0,83.0,7.1
115,2022-01-03 10:00:00,-8.2,764.0,83.0,7.1
116,2022-01-03 10:30:00,-7.9,763.9,83.0,7.1
117,2022-01-03 11:00:00,-7.9,763.9,83.0,7.1
118,2022-01-03 11:30:00,-7.7,763.8,83.0,7.1
119,2022-01-03 12:00:00,-7.6,763.8,83.0,7.1
120,2022-01-03 12:30:00,-7.5,763.8,83.0,7.1
121,2022-01-03 13:00:00,-7.4,763.8,83.0,7.1
122,2022-01-03 13:30:00,-7.5,763.8,83.0,7.1
123,2022-01-03 14:00:00,-7.3,763.7,83.0,7.1
124,2022-01-03 14:30:00,-7.3,763.7,83.0,7.1
125,2022-01-03 15:00:00,-7.2,763.7,83.0,7.1
126,2022-01-03 15:30:00,-7.2,763.7,83.0,7.1
127,2022-01-03 16:00:00,-7.2,763.7,83.0,7.1
128,2022-01-03 16:30:00,-7.2,763.7,83.0,7.1
129,2022-01-03 17:00:00,-7.3,763.7,83.0,7.1
130,2022-01-03 17:30:00,-7.3,763.7,83.0,7.1
131,2022-01-03 18:00:00,-7.5,763.8,83.0,7.1
